,Country,QII_2012,QII_2013,QII_2014,QII_2015,QII_2016,QII_2017,QII_2019,QII_2018,iso_a2,iso_a3,iso_n,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017
0,Denmark,198.57,198.57,198.57,198.57,198.57,198.57,198.57,198.57,DK,DNK,208,58623.414,61325.575,62729.499,53478.495,54665.215,57380.204
1,Switzerland,195.93,195.93,195.93,195.93,195.93,195.93,195.93,195.93,CH,CHE,756,83958.545,85675.755,87161.617,82510.452,80490.76,80642.579
2,Finland,194.01,194.01,194.01,194.01,194.01,194.01,194.01,194.01,FI,FIN,246,47553.397,49766.126,50087.853,42505.91,43582.433,45937.75
3,Australia,191.13,191.13,191.13,191.13,191.13,191.13,191.13,191.13,AU,AUS,36,68436.219,65170.853,61652.281,51493.961,51982.827,55957.72
4,Austria,191.05,191.05,191.05,191.05,191.05,191.05,191.05,191.05,AT,AUT,40,48615.817,50748.087,51814.366,44266.411,45105.749,47383.869
5,Netherlands,188.91,188.91,188.91,188.91,188.91,188.91,188.91,188.91,NL,NLD,528,50100.615,52201.723,52914.136,45205.77,46027.694,48555.353
6,Iceland,187.79,187.79,187.79,187.79,187.79,187.79,187.79,187.79,IS,ISL,352,46073.943,49815.679,54527.563,52838.356,62004.698,72389.872
7,Germany,187.05,187.05,187.05,187.05,187.05,187.05,187.05,187.05,DE,DEU,276,44089.275,46544.947,48218.87,41415.169,42460.686,44770.578
8,New Zealand,185.58,185.58,185.58,185.58,185.58,185.58,185.58,185.58,NZ,NZL,554,39553.735,41775.712,43857.784,37741.881,38982.796,41350.257
9,Norway,181.86,181.86,181.86,181.86,181.86,181.86,181.86,181.86,NO,NOR,578,101273.375,102722,96837.607,74280.697,70703.165,75513.639
10,Estonia,180.88,180.88,180.88,180.88,180.88,180.88,180.88,180.88,EE,EST,233,17431.54,19078.213,20267.044,17421.214,18235.584,20240.905
11,Japan,180.5,180.5,180.5,180.5,180.5,180.5,180.5,180.5,JP,JPN,392,48632.903,40490.155,38156.33,34568.925,38804.858,38344.022
12,United States,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,US,USA,840,51556.171,53061.235,54992.725,56770.397,57876.631,59894.998
13,Sweden,178.67,178.67,178.67,178.67,178.67,178.67,178.67,178.67,SE,SWE,752,56978.613,60069.346,58930.154,50565.098,51245.363,52924.365
14,Slovenia,175.98,175.98,175.98,175.98,175.98,175.98,175.98,175.98,SI,SVN,705,22563.157,23378.09,24243.945,20904.665,21635.439,23502.245
15,Spain,174.16,174.16,174.16,174.16,174.16,174.16,174.16,174.16,ES,ESP,724,28583.739,29237.722,29686.682,25849.685,26681.824,28377.759
16,United Kingdom,170.81,170.81,170.81,170.81,170.81,170.81,170.81,170.81,GB,GBR,826,42023.101,42981.253,47003.879,44494.861,40657.859,39975.378
17,Canada,170.32,170.32,170.32,170.32,170.32,170.32,170.32,170.32,CA,CAN,124,52753.346,52726.053,50958.059,43615.795,42446.551,45223.971
18,Qatar,167.84,167.84,167.84,167.84,167.84,167.84,167.84,167.84,QA,QAT,634,101933.117,99180.39,93054.141,66346.911,57965.377,62826.062
19,United Arab Emirates,167.81,167.81,167.81,167.81,167.81,167.81,167.81,167.81,AE,ARE,784,42723.581,43197.43,43340.018,37380.571,36226.239,37732.656
20,Croatia,165.31,165.31,165.31,165.31,165.31,165.31,165.31,165.31,HR,HRV,191,13249.445,13664.967,13610.802,11779.008,12367.801,13382.057
21,Portugal,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,PT,PRT,620,20588.873,21625.482,22112.538,19262.274,19985.547,21334.134
22,Belgium,162.09,162.09,162.09,162.09,162.09,162.09,162.09,162.09,BE,BEL,56,44977.07,46784.987,47550.179,40585.196,41545.958,43672.411
23,Ireland,160.82,160.82,160.82,160.82,160.82,160.82,160.82,160.82,IE,IRL,372,48892.231,51550.927,55534.102,61702.511,63289.731,68722.578
24,Czech Republic,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,CZ,CZE,203,19739.899,19912.51,19768.84,17728.702,18485.235,20409.984
25,France,157.83,157.83,157.83,157.83,157.83,157.83,157.83,157.83,FR,FRA,250,42371.124,44145.229,44616.405,37937.853,38253.422,40045.578
26,Cyprus,157.57,157.57,157.57,157.57,157.57,157.57,157.57,157.57,CY,CYP,196,29066.119,27825.717,27273.933,23248.193,24119.947,25954.833
27,Singapore,156.91,156.91,156.91,156.91,156.91,156.91,156.91,156.91,SG,SGP,702,54891.873,56519.348,57271.717,55330.507,56454.739,59990.058
28,Lithuania,156.36,156.36,156.36,156.36,156.36,156.36,156.36,156.36,LT,LTU,440,14354.291,15695.744,16584.719,14299.136,14988.706,16863.646
29,Israel,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,IL,ISR,376,32556.96,36359.933,37750.29,35869.725,37382.957,40560.256
30,Slovakia,153.1,153.1,153.1,153.1,153.1,153.1,153.1,153.1,SK,SVK,703,17294.62,18205.908,18668.684,16197.783,16564.909,17627.111
31,Saudi Arabia,152.72,152.72,152.72,152.72,152.72,152.72,152.72,152.72,SA,SAU,682,25208.162,24892.99,24580.472,21094.595,20317.679,21153.205
32,South Korea,149.53,149.53,149.53,149.53,149.53,149.53,149.53,149.53,KR,KOR,410,24358.78,25890.016,27811.367,27105.078,27608.248,29749.796
33,Latvia,149.15,149.15,149.15,149.15,149.15,149.15,149.15,149.15,LV,LVA,428,13762.164,14951.88,15680.89,13587.684,14071.876,15652.613
34,Poland,147.98,147.98,147.98,147.98,147.98,147.98,147.98,147.98,PL,POL,616,13158.073,13777.295,14342.832,12565.735,12427.647,13867.607
35,Italy,145.69,145.69,145.69,145.69,145.69,145.69,145.69,145.69,IT,ITA,380,34469.65,35219.817,35456.675,30153.407,30824.303,32132.468
36,Belarus,141.47,141.47,141.47,141.47,141.47,141.47,141.47,141.47,BY,BLR,112,6938.067,7977.147,8316.012,5941.24,5022.472,5757.286
37,Romania,140.31,140.31,140.31,140.31,140.31,140.31,140.31,140.31,RO,ROU,642,8518.923,9537.82,10004.876,8950.463,9538.926,10761.712
38,Greece,137.82,137.82,137.82,137.82,137.82,137.82,137.82,137.82,GR,GRC,300,22171.911,21805.257,21726.89,18114.716,18110.873,18897.637
39,South Africa,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,ZA,ZAF,710,7574.427,6907.599,6508.779,5800.506,5326.729,6182.253
40,Hungary,134.47,134.47,134.47,134.47,134.47,134.47,134.47,134.47,HU,HUN,348,12873.202,13646.269,14182.698,12487.225,12818.716,14264.252
41,Taiwan,133.82,133.82,133.82,133.82,133.82,133.82,133.82,133.82,TW,TWN,158,21269.614,21887.992,22638.917,22373.564,22572.702,24389.677
42,Bulgaria,130.59,130.59,130.59,130.59,130.59,130.59,130.59,130.59,BG,BGR,100,7399.392,7667.592,7888.558,7017.414,7496.084,8274.48
43,Turkey,125.51,125.51,125.51,125.51,125.51,125.51,125.51,125.51,TR,TUR,792,11552.693,12395.369,12022.18,10914.886,10817.389,10537.186
44,Bosnia And Herzegovina,124.51,124.51,124.51,124.51,124.51,124.51,124.51,124.51,BA,BIH,70,4716.643,5036.032,5194.014,4584.264,4808.299,5180.778
45,Chile,124.14,124.14,124.14,124.14,124.14,124.14,124.14,124.14,CL,CHL,152,15307.766,15804.358,14643.845,13571.968,13775.713,15127.763
46,Mexico,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,MX,MEX,484,10261.045,10764.334,10980.985,9673.643,8814.916,9376.986
47,Argentina,122.49,122.49,122.49,122.49,122.49,122.49,122.49,122.49,AR,ARG,32,13889.792,14488.829,13208.831,14895.316,12772.868,14588.011
48,Malaysia,122.11,122.11,122.11,122.11,122.11,122.11,122.11,122.11,MY,MYS,458,10655.464,10699.659,11008.868,9511.81,9380.975,9827.669
49,Georgia,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,GE,GEO,268,4237.928,4340.711,4441.774,3759.598,3856.067,4046.89
50,Serbia,119.83,119.83,119.83,119.83,119.83,119.83,119.83,119.83,RS,SRB,688,6012.63,6752.796,6598.935,5585.117,5756.384,6284.196
51,India,117.51,117.51,117.51,117.51,117.51,117.51,117.51,117.51,IN,IND,356,1481.562,1485.595,1610.355,1639.69,1761.626,2014.013
52,Panama,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12,PA,PAN,591,10674.487,11841.893,12756.952,13606.597,14356.447,15198.089
53,Jordan,112.94,112.94,112.94,112.94,112.94,112.94,112.94,112.94,JO,JOR,400,3930.945,4054.771,4129.994,4145.481,4151.16,4201.656
54,Lebanon,111.21,111.21,111.21,111.21,111.21,111.21,111.21,111.21,LB,LBN,422,8996.561,8882.804,8619.257,8540.387,8530.362,8778.472
55,Macedonia,110.64,110.64,110.64,110.64,110.64,110.64,110.64,110.64,MK,MKD,807,4728.267,5239.722,5498.606,4860.421,5153.016,5448.428
56,Colombia,108.36,108.36,108.36,108.36,108.36,108.36,108.36,108.36,CO,COL,170,7950.381,8103.486,7998.843,6088.678,5799.615,6325.486
57,Indonesia,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,ID,IDN,360,3744.53,3684,3533.606,3367.691,3605.721,3884.718
58,Russia,104.94,104.94,104.94,104.94,104.94,104.94,104.94,104.94,RU,RUS,643,15358.085,15942.141,14305.57,9477.559,8909.547,10961.992
59,Pakistan,104.63,104.63,104.63,104.63,104.63,104.63,104.63,104.63,PK,PAK,586,1254.17,1266.742,1312.427,1424.954,1439.63,1545.938
60,Thailand,103.26,103.26,103.26,103.26,103.26,103.26,103.26,103.26,TH,THA,764,5979.218,6296.192,6079.686,5967.672,6113.799,6730.558
61,Ukraine,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,UA,UKR,804,3872.534,3968.797,3053.608,2124.619,2200.002,2655.939
62,Hong Kong,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,HK,HKG,344,36619.811,38230.066,40182.28,42321.712,43496.299,46091.216
63,Brazil,100.33,100.33,100.33,100.33,100.33,100.33,100.33,100.33,BR,BRA,76,12426.686,12357.57,12176.246,8846.376,8752.328,9928.234
64,China,97.92,97.92,97.92,97.92,97.92,97.92,97.92,97.92,CN,CHN,156,6329.464,7080.828,7701.691,8166.756,8115.828,8677.4
65,Sri Lanka,95.3,95.3,95.3,95.3,95.3,95.3,95.3,95.3,LK,LKA,144,3349.776,3608.294,3818.396,3842.252,3856.824,4073.44
66,Philippines,90.73,90.73,90.73,90.73,90.73,90.73,90.73,90.73,PH,PHL,608,2591.627,2768.472,2849.267,2882.768,2953.208,2988.897
67,Vietnam,88.82,88.82,88.82,88.82,88.82,88.82,88.82,88.82,VN,VNM,704,1750.756,1898.898,2047.429,2085.714,2172.012,2353.356
68,Kazakhstan,87.17,87.17,87.17,87.17,87.17,87.17,87.17,87.17,KZ,KAZ,398,12300.476,13789.254,12712.103,10434.755,7658.458,8953.477
69,Iran,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,IR,IRN,364,5118.474,5152.037,5395.791,4723.476,5026.648,5289.795
70,Egypt,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,EG,EGY,818,3383.113,3400.321,3524.418,3731.177,3686.07,2495.02
